factor_key,factor_weight,component_key,component_subweight,current_code_path,current_code_blob_sha,current_source_role,current_source_name,measurement_required,observation_frequency,requires_intraday_snapshot,requires_release_timing,requires_vintage_control,required_lookback,historical_source_documented,earliest_documented_source_date,earliest_candidate_usable_date,revision_or_backfill_risk,publication_timing_status,fallback_or_cache_issue,repo_historical_evidence,external_evidence_type,external_evidence_reference,evidence_access_date,exact_production_replay_class,methodology_replay_class,confidence,blocking_issue,next_proof_needed,notes
trend_valuation,0.30,bmsb_distance,0.60,scripts/etl/factors/trendValuation.mjs,75046b4d47d73144f56c339c0461bdd4b6bf21b1,primary,completed_utc_weekly_closes_plus_snapshot,BMSB distance of utc_intraday_snapshot versus 20-week SMA / 21-week EMA of completed UTC weekly closes,weekly_completed_plus_intraday_snapshot,YES,NO,NO,22 completed UTC weeks,PARTIAL,2025-09-15,,HIGH,MATERIAL,Coinbase vs CoinGecko price-history fallback identity not reconstructable,latest.json 303 distinct as_of dates with numeric spot; btc_price_history.csv only 5 Git commits,official_mutable_docs,https://docs.cdp.coinbase.com/exchange/reference/exchangerestapi_getproductcandles,2026-08-19,U_UNRESOLVED,U_UNRESOLVED,MEDIUM,snapshot numerator not proven equal to unlabeled historical latest.json spots,Prove utc_intraday_snapshot identity of historical spots; truncate weekly history at T,FACT: calculateBMSB requires weeklyCloses.length >= 22 and uses snapshotPrice. LIMITATION: later daily close != production snapshot. DECISION: latest.json coverage is INTERMITTENT contemporaneous prices not a proven snapshot archive.
trend_valuation,0.30,mayer_stretch,0.30,scripts/etl/factors/trendValuation.mjs,75046b4d47d73144f56c339c0461bdd4b6bf21b1,primary,completed_utc_daily_closes_plus_snapshot,Mayer multiple = utc_intraday_snapshot / SMA200 of completed UTC daily closes then percentile over Mayer series through T,daily_completed_plus_intraday_snapshot,YES,NO,NO,200 completed UTC daily closes,PARTIAL,2025-09-15,,HIGH,MATERIAL,same snapshot and CSV-rewrite issue,btc_price_history.csv 5 commits 2025-09-24 then 2025-09-28 then 2026-08-17/18/19; using today's CSV as rank universe is lookahead,official_mutable_docs,https://docs.cdp.coinbase.com/exchange/reference/exchangerestapi_getproductcandles,2026-08-19,U_UNRESOLVED,U_UNRESOLVED,MEDIUM,intraday snapshot plus non-daily CSV archive plus percentile lookahead,Prove snapshot reconstruction and as-of-truncated percentile universe,FACT: Mayer uses snapshot/SMA200. FACT: price_kind=utc_intraday_snapshot is labeled on only 3 latest.json commits.
trend_valuation,0.30,weekly_rsi,0.10,scripts/etl/factors/trendValuation.mjs,75046b4d47d73144f56c339c0461bdd4b6bf21b1,primary,completed_utc_weekly_closes,RSI(14) on completed UTC weekly closes then percentile over RSI series through T,weekly_completed,NO,NO,NO,15 completed UTC weekly closes,PARTIAL,2025-09-24,,MEDIUM,NOT_MATERIAL_FOR_CLOSE,price-history source fallback still applies,completed weeks depend on the same sparsely versioned CSV,official_mutable_docs,https://docs.cdp.coinbase.com/exchange/reference/exchangerestapi_getproductcandles,2026-08-19,U_UNRESOLVED,B_POINT_IN_TIME_METHOD_EQUIVALENT,MEDIUM,percentile universe contamination if later weeks included,Prove truncated weekly close history without later CSV backfill,INFERENCE: weekly RSI does not require the 11:xx snapshot. LIMITATION: factor-level class cannot be B while BMSB and Mayer remain U.
trend_valuation,0.30,utc_intraday_snapshot,0,scripts/etl/lib/snapshotPrice.mjs,d49c9486e0d75bdeecd8b4aa287cb07f6350e34e,primary,Coinbase_utc_intraday_snapshot,Still-open UTC daily Coinbase candle selected at typical ~11:00 UTC run (selectSnapshotFromDailyCandles),intraday,YES,YES,NO,current UTC day candle at run time,PARTIAL,2025-09-15,,HIGH,MATERIAL,exact historical snapshot-at-run-time not equal to later completed daily close,latest.json first 2025-09-15 last 2026-08-19; 423 numeric spots; price_kind label only on last 3 commits; e9083962 btc.spot_usd=108739.09 as_of 2025-09-26T11:19:04.150Z source Coinbase,official_mutable_docs,https://docs.cdp.coinbase.com/exchange/reference/exchangerestapi_getproductcandles,2026-08-19,U_UNRESOLVED,U_UNRESOLVED,MEDIUM,unlabeled historical spots are contemporaneous published prices not proven utc_intraday_snapshot,Map price_kind/source fields across latest.json history without computing factor scores,FACT: production uses utc_intraday_snapshot. DECISION: daily close alone is not sufficient. FACT: coverage is hundreds of dates not isolated.
stablecoins,0.18,supply_growth,0.55,scripts/etl/factors.mjs,e9fd06df79967f0041a901e2dd971b771e669b03,primary,CoinGecko_market_chart,Weighted stablecoin supply/market-cap growth vs 365-day changeSeries percentile,daily,NO,NO,YES,365-day growth baseline plus fetch window,YES,2025-10-05,,HIGH,MATERIAL,CMC then CryptoCompare fallback; dated JSON has no coin id keys (positional),STRONG PIT RAW SOURCE: 309 dated caches lag=0 never modified; 2025-10-04 3-coin 91-day windows; 2025-10-05 onward 7-coin; HEAD 2026-08-19 7-coin 31-day windows; stablecoins-historical.json 287 commits of derived changeSeries,official_mutable_docs,https://docs.coingecko.com/reference/coins-id-market-chart,2026-08-19,U_UNRESOLVED,U_UNRESOLVED,MEDIUM,365-day current-methodology universe not proven from 31-91 day windows; exact A forbidden while method is U,Prove T-truncated 365d universe from git blobs without using today's file,FACT: basket USDT 0.55 USDC 0.25 DAI 0.05 BUSD 0.03 TUSD 0.02 FRAX 0.02 LUSD 0.01 is hardcoded. FACT: Git dated captures are contemporaneous not backfilled. DECISION: raw capture is exact PIT source evidence; current component replay remains U. LIMITATION: BUSD survivorship is distinct from capture vintage.
stablecoins,0.18,momentum,0.30,scripts/etl/factors.mjs,e9fd06df79967f0041a901e2dd971b771e669b03,primary,CoinGecko_market_chart,Growth-momentum of the same weighted basket vs historical changeSeries,daily,NO,NO,YES,365-day baseline,YES,2025-10-05,,HIGH,MATERIAL,same fallback/cache/percentile issues as supply_growth,same dated stablecoin caches as supply_growth,official_mutable_docs,https://docs.coingecko.com/reference/coins-id-market-chart,2026-08-19,U_UNRESOLVED,U_UNRESOLVED,MEDIUM,inherits 365-day universe gap,Same as supply_growth,LIMITATION: momentum cannot be validation-grade current-methodology if the 365-day baseline is not PIT. DECISION: raw capture retained; replay U/U.
stablecoins,0.18,concentration,0.15,scripts/etl/factors.mjs,e9fd06df79967f0041a901e2dd971b771e669b03,primary,CoinGecko_market_chart,HHI concentration across the configured basket constituents,daily,NO,NO,YES,current basket snapshot,YES,2025-10-05,,HIGH,MATERIAL,positional unnamed series; 3-coin vs 7-coin captures,same dated caches; 7-coin files begin 2025-10-05,official_mutable_docs,https://docs.coingecko.com/reference/coins-id-market-chart,2026-08-19,U_UNRESOLVED,U_UNRESOLVED,MEDIUM,current 7-coin HHI identity of positional arrays unproven,Map positional indexes to SSOT ids using contemporaneous code not today's membership assumed backward,FACT: concentration uses the hardcoded basket. DECISION: Git captures are PIT raw windows; current-methodology HHI still needs coin-identity proof so replay is U not A.
etf_flows,0.077,sum_21d,0.30,scripts/etl/factors.mjs,e9fd06df79967f0041a901e2dd971b771e669b03,primary,Farside_bitcoin_etf_html,21-business-day sum of published total daily US spot Bitcoin ETF flows as_of truncated,business_daily,NO,YES,YES,21 business days after 2024-01-11 inception,YES,2024-01-11,,HIGH,MATERIAL,live Farside table is mutable; Git HTML is not,STRONG PIT RAW SOURCE: 305 Git HTML files 2025-10-07 through 2026-08-19 lag=0 laterModified=0; 2025-10-07.html has IBIT FBTC GBTC Total headers and 460 tr; missing weekdays 2025-10-13 2026-01-14 2026-03-06 2026-03-30 2026-04-06 2026-05-25 2026-06-01,official_mutable_page,https://farside.co.uk/bitcoin-etf-flow-all-data/,2026-08-19,U_UNRESOLVED,U_UNRESOLVED,MEDIUM,21-business-day as-of-eligible row count and current parser identity not proven,H6.1 no-score structural proof of Total/per-fund columns plus >=21 eligible business-day rows after selectPublishedEtfFlowRows,FACT: US spot Bitcoin ETP approval https://www.sec.gov/newsroom/press-releases/2024-7 . FACT: first Git HTML 2025-10-07 is contemporaneous PIT source. DECISION: Option B — do not set replay A solely because the HTML file exists. Header presence is necessary not sufficient.
etf_flows,0.077,acceleration,0.30,scripts/etl/factors.mjs,e9fd06df79967f0041a901e2dd971b771e669b03,primary,Farside_bitcoin_etf_html,7-business-day flow sum minus prior 7-business-day sum,business_daily,NO,YES,YES,14+ business days of published rows,YES,2024-01-11,,HIGH,MATERIAL,same Git vs live Farside distinction,same Git HTML window,official_mutable_page,https://farside.co.uk/bitcoin-etf-flow-all-data/,2026-08-19,U_UNRESOLVED,U_UNRESOLVED,MEDIUM,inherits unproven 21d/as-of structural sufficiency,Same as sum_21d,FACT: acceleration compares adjacent 7-business-day windows on published rows selected vs as_of via marketCalendar.mjs blob 77c5669f77bef11cbc43fb85f82bb4a42bfc2136. DECISION: replay U pending H6.1 structural proof; PIT HTML retained.
etf_flows,0.077,diversification,0.40,scripts/etl/factors.mjs,e9fd06df79967f0041a901e2dd971b771e669b03,primary,Farside_bitcoin_etf_html,HHI across individual ETF flow columns on the selected published rows,business_daily,NO,YES,YES,per-fund columns on published table,YES,2024-01-11,,HIGH,MATERIAL,contemporaneous HTML has the then-published fund set,Git HTML preserves contemporaneous columns; never rewritten; 2025-10-07.html includes IBIT FBTC GBTC Total headers,official_mutable_page,https://farside.co.uk/bitcoin-etf-flow-all-data/,2026-08-19,U_UNRESOLVED,U_UNRESOLVED,MEDIUM,HHI column completeness vs current etfColumns list not fully proven,H6.1 confirm all parser etfColumns present on representative earliest capture,LIMITATION: pre-capture dates still have no Git HTML. DECISION: replay U; PIT HTML retained.
net_liquidity,0.043,level,0.15,scripts/etl/factors.mjs,e9fd06df79967f0041a901e2dd971b771e669b03,primary,FRED_WALCL_RRPONTSYD_WTREGEN,Net liquidity level = WALCL - RRPONTSYD - WTREGEN using observations knowable at as_of_utc,weekly_plus_daily,NO,YES,YES,8 weeks minimum; 365-day fetch,YES,2025-12-11,,HIGH,MATERIAL,current FRED is revised; cache has dates not raw arrays,97 net_liquidity_cache blobs 2025-12-11 to 2026-08-14 with latestWalclDate lastUpdated; no raw FRED,official_versioned_docs,https://fred.stlouisfed.org/docs/api/fred/alfred.html,2026-08-19,U_UNRESOLVED,U_UNRESOLVED,MEDIUM,latest FRED != vintage known at T; cache is not a raw vintage archive,Prove ALFRED observation available before 11:xx UTC without computing NL,FACT: production fetches current FRED not ALFRED. FACT: WALCL H.4.1 typically Thursday ~16:30 ET https://www.federalreserve.gov/releases/h41/ . FACT: Git cache is operational provenance not raw series.
net_liquidity,0.043,rate_of_change,0.40,scripts/etl/factors.mjs,e9fd06df79967f0041a901e2dd971b771e669b03,primary,FRED_WALCL_RRPONTSYD_WTREGEN,4-week rate of change of the same net-liquidity series,weekly,NO,YES,YES,4 additional weeks on top of level,YES,2025-12-11,,HIGH,MATERIAL,same vintage and publication issues,same Git cache family,official_versioned_docs,https://fred.stlouisfed.org/docs/api/fred/series_observations.html,2026-08-19,U_UNRESOLVED,U_UNRESOLVED,MEDIUM,inherits WALCL publication delay and revisions,Same ALFRED proof,FACT: SSOT subweight is 0.40. CODE WINS. Do not backsolve RoC from cached scores.
net_liquidity,0.043,momentum,0.45,scripts/etl/factors.mjs,e9fd06df79967f0041a901e2dd971b771e669b03,primary,FRED_WALCL_RRPONTSYD_WTREGEN,Momentum over 12 weeks of the same net-liquidity series,weekly,NO,YES,YES,12 weeks,YES,2025-12-11,,HIGH,MATERIAL,same vintage and publication issues,same Git cache family,official_versioned_docs,https://www.federalreserve.gov/releases/h41/,2026-08-19,U_UNRESOLVED,U_UNRESOLVED,MEDIUM,inherits WALCL publication delay and revisions,Same ALFRED proof,FACT: SSOT subweight is 0.45. CODE WINS.
term_leverage,0.20,funding,0.40,scripts/etl/factors.mjs,e9fd06df79967f0041a901e2dd971b771e669b03,primary,BitMEX_then_Binance_then_OKX,Selected venue perpetual funding over the required 30-day window after publication grace,8h,YES,YES,NO,30 days of funding slots,PARTIAL,2025-12-11,2025-12-11,HIGH,MATERIAL,explicit funding_provider field only from 2026-08-17 (3 blobs all bitmex); 250 earlier blobs have fundingData[30] without that field,term_leverage_cache.json 253 blobs 241 dates; fundingData length 30 in all; 876fefba blob ea0db391 funding_provider=bitmex; Dec 11 2025 details Data Source BitMEX symbol XBTUSD,official_mutable_docs,https://www.bitmex.com/app/apiOverview,2026-08-19,U_UNRESOLVED,U_UNRESOLVED,MEDIUM,no sufficiently long contiguous explicit provider-selection field archive,Prove whether details/symbol plus fundingData identify the selected venue across 241 dates,FACT: Git does contain a dated funding-window archive. DECISION: replace no dated provider-selection archive with: explicit provider field is short; fundingData archive is dense. Also see https://developers.binance.com/docs/derivatives/usds-margined-futures/market-data/rest-api/Get-Funding-Rate-History and https://www.okx.com/docs-v5/en/#public-data-rest-api-get-funding-rate-history
term_leverage,0.20,realized_vol,0.35,scripts/etl/factors.mjs,e9fd06df79967f0041a901e2dd971b771e669b03,primary,CoinGecko_market_chart_30d_daily,Realized volatility from 30-day daily BTC spot chart,daily,NO,NO,YES,30 daily points,YES,2025-09-20,,HIGH,MATERIAL,CoinGecko current historical response can differ from contemporaneous daily observations,market_chart_30_daily.json 13 commits 10 dates 2025-09-20 then 2025-09-23/24/26 2025-10-01/29 then 2026-08-17/18/19,official_mutable_docs,https://docs.coingecko.com/reference/coins-id-market-chart,2026-08-19,C_EXPLORATORY_ONLY,C_EXPLORATORY_ONLY,MEDIUM,no contiguous PIT 30d chart archive,Need contemporaneous chart captures denser than 10 dates,LIMITATION: factor methodology cannot be A/B while this scored leg is C. FACT: market_chart_365_daily.json only 4 commits ending 2025-09-23.
term_leverage,0.20,stress,0.25,scripts/etl/factors.mjs,e9fd06df79967f0041a901e2dd971b771e669b03,primary,funding_plus_spot_chart,Funding vs spot-vol stress/divergence using the selected funding series and 30-day spot chart,8h_plus_daily,YES,YES,YES,30 days,PARTIAL,2025-12-11,,HIGH,MATERIAL,inherits funding provider-field gap and sparse market_chart cache,term cache dense; chart cache sparse,official_mutable_docs,https://docs.coingecko.com/reference/coins-id-market-chart,2026-08-19,U_UNRESOLVED,U_UNRESOLVED,MEDIUM,cannot recreate stress without both legs PIT-safe,Same as funding plus realized_vol proofs,LIMITATION: factor methodology cannot be A/B if realized_vol remains C.
macro_overlay,0.10,dxy_20d,0.40,scripts/etl/factors.mjs,e9fd06df79967f0041a901e2dd971b771e669b03,primary,FRED_DTWEXBGS,20-session change in DTWEXBGS using values knowable at 11:xx UTC,business_daily,NO,YES,YES,20 sessions plus >=30 observations in 120-day fetch,YES,2025-12-11,,HIGH,MATERIAL,current FRED revised; cache has latestDxyDate not raw series,175 macro_overlay_cache blobs 2025-12-11 to 2026-08-19,official_versioned_docs,https://fred.stlouisfed.org/docs/api/fred/series_observations.html,2026-08-19,U_UNRESOLVED,U_UNRESOLVED,MEDIUM,latest FRED plus same-day vs prior-close knowability,Prove ALFRED vintage of DTWEXBGS available before typical run,FACT: official blend uses dxy_20d 0.40. FACT: production code uses current FRED not ALFRED. Also https://fred.stlouisfed.org/docs/api/fred/alfred.html
macro_overlay,0.10,us2y_20d,0.35,scripts/etl/factors.mjs,e9fd06df79967f0041a901e2dd971b771e669b03,primary,FRED_DGS2_plus_DGS10_inversion,20-session DGS2 change plus +15 inversion bonus if DGS10-DGS2 < 0,business_daily,NO,YES,YES,20 sessions; DGS10 required for inversion bonus,YES,2025-12-11,,HIGH,MATERIAL,H.15 / DGS2 timing vs 11:00 UTC; FRED revisions; cache has latestDgs2Date not raw,same 175-date macro cache,official_versioned_docs,https://www.federalreserve.gov/releases/h15/,2026-08-19,U_UNRESOLVED,U_UNRESOLVED,MEDIUM,DGS10 inversion is scored; DFII10 is not blended,Prove vintages of DGS2 and DGS10 knowable at as_of,FACT: DFII10 is fetched and not in LOCKED_OFFICIAL_BLENDS. FACT: DGS10 inversion affects scored us2y_20d. CODE WINS. Also https://fred.stlouisfed.org/docs/api/fred/series_observations.html
macro_overlay,0.10,vix_pct,0.25,scripts/etl/factors.mjs,e9fd06df79967f0041a901e2dd971b771e669b03,primary,FRED_VIXCLS,VIXCLS percentile over the fetched window using observations knowable at 11:xx UTC,business_daily,NO,YES,YES,120-day fetch window with >=30 observations,YES,2025-12-11,,HIGH,MATERIAL,same-day VIX often not knowable at 11:xx UTC; ranking against later-complete window is lookahead,macro cache has latestVixDate not raw VIX array,official_versioned_docs,https://fred.stlouisfed.org/docs/api/fred/alfred.html,2026-08-19,U_UNRESOLVED,U_UNRESOLVED,MEDIUM,percentile lookahead plus vintage,Prove truncated vintage VIX window as of T,FACT: vix_pct is 0.25 of the official blend. DECISION: do not rank historical T against today's complete VIX file. Do not backsolve VIX from cached scores.
