factor_key,component_key,current_weight,current_subweight,preferred_reconstruction_role,preferred_source,fallback_reconstruction_role,fallback_source,earliest_allowed_date,as_of_rule,lookback_rule,future_data_forbidden,carry_forward_allowed,interpolation_allowed,renormalization_allowed,missing_behavior,h6_1_support,known_limitation,h7_base_sha,model_source_sha,protocol_version
trend_valuation,utc_intraday_snapshot,0.30,n/a,B_METHOD_PIT,labeled utc_intraday_snapshot plus contemporaneous btc_price_history.csv vintage on 2026-08-17..19,C_SURROGATE,Coinbase BTC-USD most recent completed 5-minute candle close whose closing boundary is <= reconstruction_as_of_utc,2025-12-11,prefer H3/H3.1 DAILY_PRIMARY observation_as_of_utc or as_of_utc when trustworthy else 11:30:00 UTC on T,5-minute completed candle <= as_of; never use completed UTC daily close as snapshot numerator,TRUE,FALSE,FALSE,FALSE,MISSING,H6.1 method B isolated 2026-08-17..19; unlabeled pre-2026-08-16 spots used getCoinbaseCloseForYesterday,5-minute proxy is not claimed equal to historical production snapshot; do not optimize granularity or clock against outcomes,6c03730df19adafd8e4e3b1f84361e64a378a6a6,6b2fa9cf56ce738c74c8da6de0f5a972858f8a52,h7-exploratory-reconstruction-v1
trend_valuation,bmsb_distance,0.30,0.60,B_METHOD_PIT,current v1.1.1 BMSB math on labeled snapshot plus contemporaneous CSV vintage,C_CURRENT_HISTORY,Coinbase historical completed weekly closes strictly before reconstruction_as_of_utc,2025-12-11,prefer H3/H3.1 DAILY_PRIMARY observation_as_of_utc or as_of_utc when trustworthy else 11:30:00 UTC on T,22 completed UTC weeks required by current code; include only weeks completed before as_of,TRUE,FALSE,FALSE,FALSE,MISSING,H6.1 method B isolated 2026-08-17..19,outside the CSV island live Coinbase history is C_CURRENT_HISTORY not proven equal to operational CSV,6c03730df19adafd8e4e3b1f84361e64a378a6a6,6b2fa9cf56ce738c74c8da6de0f5a972858f8a52,h7-exploratory-reconstruction-v1
trend_valuation,mayer_stretch,0.30,0.30,B_METHOD_PIT,current v1.1.1 Mayer math; numerator is snapshot not last completed daily close,C_CURRENT_HISTORY,Coinbase historical completed daily closes strictly before reconstruction_as_of_utc for SMA200 denominator,2025-12-11,prefer H3/H3.1 DAILY_PRIMARY observation_as_of_utc or as_of_utc when trustworthy else 11:30:00 UTC on T,200 completed UTC daily closes; T-truncated at as_of; snapshot numerator from utc_intraday_snapshot row,TRUE,FALSE,FALSE,FALSE,MISSING,H6.1 method B isolated 2026-08-17..19,completed daily close must not replace snapshot numerator,6c03730df19adafd8e4e3b1f84361e64a378a6a6,6b2fa9cf56ce738c74c8da6de0f5a972858f8a52,h7-exploratory-reconstruction-v1
trend_valuation,weekly_rsi,0.30,0.10,B_METHOD_PIT,current v1.1.1 weekly RSI percentile on T-truncated completed weeks,C_CURRENT_HISTORY,Coinbase historical completed weekly closes strictly before reconstruction_as_of_utc,2025-12-11,prefer H3/H3.1 DAILY_PRIMARY observation_as_of_utc or as_of_utc when trustworthy else 11:30:00 UTC on T,percentile ranks the truncated weekly RSI series only,TRUE,FALSE,FALSE,FALSE,MISSING,H6.1 method B isolated 2026-08-17..19,no old Trend factor score may be used as input,6c03730df19adafd8e4e3b1f84361e64a378a6a6,6b2fa9cf56ce738c74c8da6de0f5a972858f8a52,h7-exploratory-reconstruction-v1
stablecoins,supply_growth,0.18,0.55,B_METHOD_PIT,dated 7-series JSON plus Git-recoverable PRE-RUN stablecoins-historical changeSeries,MISSING,none in H7 v1; later API fill forbidden,2025-12-11,prefer H3/H3.1 DAILY_PRIMARY observation_as_of_utc or as_of_utc when trustworthy else 11:30:00 UTC on T,use prior committed baseline blob for observation T; do not use same-run post-run baseline,TRUE,FALSE,FALSE,FALSE,MISSING,H6.1 method B intermittent from 2025-10-05; H7 window starts 2025-12-11,exact CoinGecko vs CMC/CryptoCompare fallback unlabeled; 31-point window yields one newChangeSeries point,6c03730df19adafd8e4e3b1f84361e64a378a6a6,6b2fa9cf56ce738c74c8da6de0f5a972858f8a52,h7-exploratory-reconstruction-v1
stablecoins,momentum,0.18,0.30,B_METHOD_PIT,current 7d threshold on contemporaneous 30d seven-series JSON,MISSING,none in H7 v1; later API fill forbidden,2025-12-11,prefer H3/H3.1 DAILY_PRIMARY observation_as_of_utc or as_of_utc when trustworthy else 11:30:00 UTC on T,current momentum is 7d threshold on the 30d window not a 365d percentile,TRUE,FALSE,FALSE,FALSE,MISSING,H6.1 method B intermittent from 2025-10-05,no alternate basket; no modern replacement for BUSD/TUSD,6c03730df19adafd8e4e3b1f84361e64a378a6a6,6b2fa9cf56ce738c74c8da6de0f5a972858f8a52,h7-exploratory-reconstruction-v1
stablecoins,concentration,0.18,0.15,B_METHOD_PIT,current market-cap snapshot inside contemporaneous 7-series JSON,MISSING,none in H7 v1; later API fill forbidden,2025-12-11,prefer H3/H3.1 DAILY_PRIMARY observation_as_of_utc or as_of_utc when trustworthy else 11:30:00 UTC on T,positional identity via contemporaneous seven-coin fetch order,TRUE,FALSE,FALSE,FALSE,MISSING,H6.1 identity A/A from 2025-10-05; factor method B from 2025-10-05,files contain no coin ids,6c03730df19adafd8e4e3b1f84361e64a378a6a6,6b2fa9cf56ce738c74c8da6de0f5a972858f8a52,h7-exploratory-reconstruction-v1
etf_flows,sum_21d,0.077,0.30,B_METHOD_PIT,same-date Farside HTML plus current UTC publication cutoff,MISSING,none in H7 v1; live Farside and future Git HTML forbidden as PIT for earlier T,2025-12-11,prefer H3/H3.1 DAILY_PRIMARY observation_as_of_utc or as_of_utc when trustworthy else 11:30:00 UTC on T; ETF_FLOW_PUBLISH_HOUR_UTC=16,>=21 published business-day rows after selectPublishedEtfFlowRows,TRUE,FALSE,FALSE,FALSE,MISSING,H6.1 method B intermittent from 2025-10-07; H7 window starts 2025-12-11,parser isBusinessDay uses local Date.getDay; preferred etf-flows-historical.json is a frozen 2025-09-17 blob,6c03730df19adafd8e4e3b1f84361e64a378a6a6,6b2fa9cf56ce738c74c8da6de0f5a972858f8a52,h7-exploratory-reconstruction-v1
etf_flows,acceleration,0.077,0.30,B_METHOD_PIT,same-date Farside HTML plus current two adjacent 7-day windows,MISSING,none in H7 v1,2025-12-11,prefer H3/H3.1 DAILY_PRIMARY observation_as_of_utc or as_of_utc when trustworthy else 11:30:00 UTC on T; ETF_FLOW_PUBLISH_HOUR_UTC=16,two adjacent 7-day published windows inside capture-date HTML,TRUE,FALSE,FALSE,FALSE,MISSING,H6.1 method B intermittent from 2025-10-07,do not use a later capture as PIT for an earlier date,6c03730df19adafd8e4e3b1f84361e64a378a6a6,6b2fa9cf56ce738c74c8da6de0f5a972858f8a52,h7-exploratory-reconstruction-v1
etf_flows,diversification,0.077,0.40,B_METHOD_PIT,same-date Farside HTML named fund columns ibit fbtc bitb arkb btco ezbc brrr hodl btcw gbtc btc,MISSING,none in H7 v1,2025-12-11,prefer H3/H3.1 DAILY_PRIMARY observation_as_of_utc or as_of_utc when trustworthy else 11:30:00 UTC on T,per-fund cells for current HHI mathematics; extra columns unused,TRUE,FALSE,FALSE,FALSE,MISSING,H6.1 HTML structure A from 2025-10-07,no HHI or ETF scores in H7 protocol work,6c03730df19adafd8e4e3b1f84361e64a378a6a6,6b2fa9cf56ce738c74c8da6de0f5a972858f8a52,h7-exploratory-reconstruction-v1
net_liquidity,level,0.043,0.15,C_PIT_CONSERVATIVE,ALFRED/FRED WALCL RRPONTSYD WTREGEN vintage cutoff T-1 excluding observation_date >= T,MISSING,MISSING if weekly aggregation equivalence to production frequency=w aggregation_method=avg cannot be proven,2025-12-11,prefer H3/H3.1 DAILY_PRIMARY observation_as_of_utc or as_of_utc when trustworthy else 11:30:00 UTC on T,vintage realtime_end <= T-1; exclude observation_date >= T,TRUE,FALSE,FALSE,FALSE,MISSING,H6.1 factor remains U/U; ALFRED retrieval is not method B,conservative lag is not exact production replay; do not promote because scores resemble official prints,6c03730df19adafd8e4e3b1f84361e64a378a6a6,6b2fa9cf56ce738c74c8da6de0f5a972858f8a52,h7-exploratory-reconstruction-v1
net_liquidity,rate_of_change,0.043,0.40,C_PIT_CONSERVATIVE,same conservative ALFRED/FRED vintage path as level,MISSING,MISSING if weekly aggregation convention unproven,2025-12-11,prefer H3/H3.1 DAILY_PRIMARY observation_as_of_utc or as_of_utc when trustworthy else 11:30:00 UTC on T,current 8/12 week lookback on T-truncated conservative vintage only,TRUE,FALSE,FALSE,FALSE,MISSING,H6.1 U/U,do not silently invent weekly aggregation,6c03730df19adafd8e4e3b1f84361e64a378a6a6,6b2fa9cf56ce738c74c8da6de0f5a972858f8a52,h7-exploratory-reconstruction-v1
net_liquidity,momentum,0.043,0.45,C_PIT_CONSERVATIVE,same conservative ALFRED/FRED vintage path as level,MISSING,MISSING if weekly aggregation convention unproven,2025-12-11,prefer H3/H3.1 DAILY_PRIMARY observation_as_of_utc or as_of_utc when trustworthy else 11:30:00 UTC on T,current momentum math on T-truncated conservative vintage only,TRUE,FALSE,FALSE,FALSE,MISSING,H6.1 U/U,11:00/11:30 UTC production knowability remains unproven,6c03730df19adafd8e4e3b1f84361e64a378a6a6,6b2fa9cf56ce738c74c8da6de0f5a972858f8a52,h7-exploratory-reconstruction-v1
term_leverage,funding,0.20,0.40,B_METHOD_PIT,contemporaneous Git term_leverage_cache fundingData BitMEX evidence,MISSING,none; H7 v1 does not select official BitMEX historical retrieval,2025-12-11,prefer H3/H3.1 DAILY_PRIMARY observation_as_of_utc or as_of_utc when trustworthy else 11:30:00 UTC on T,30-row funding window; no carry-forward,TRUE,FALSE,FALSE,FALSE,MISSING,H6.1 funding A/A from 2025-12-11; factor method B isolated 2026-08-17..19,missing Git funding dates remain MISSING,6c03730df19adafd8e4e3b1f84361e64a378a6a6,6b2fa9cf56ce738c74c8da6de0f5a972858f8a52,h7-exploratory-reconstruction-v1
term_leverage,realized_vol,0.20,0.35,B_METHOD_PIT,entire contemporaneous Git market_chart_30_daily vector unchanged,C_SURROGATE,exact 31-point C_SURROGATE only when no valid contemporaneous Git capture exists,2025-12-11,prefer H3/H3.1 DAILY_PRIMARY observation_as_of_utc or as_of_utc when trustworthy else 11:30:00 UTC on T,CASE A use entire Git vector unchanged; CASE B exactly 31 points = UTC dates T-30 through T-1 plus Coinbase completed 5-minute T proxy last,TRUE,FALSE,FALSE,FALSE,MISSING,H6.1 chart A/A on captured dates from 2025-09-20; factor method B isolated 2026-08-17..19,do not modify Git vector when present; surrogate is not claimed equal to live CoinGecko market_chart,6c03730df19adafd8e4e3b1f84361e64a378a6a6,6b2fa9cf56ce738c74c8da6de0f5a972858f8a52,h7-exploratory-reconstruction-v1
term_leverage,stress,0.20,0.25,B_METHOD_PIT,entire contemporaneous Git market_chart_30_daily vector unchanged,C_SURROGATE,exact 31-point C_SURROGATE only when no valid contemporaneous Git capture exists,2025-12-11,prefer H3/H3.1 DAILY_PRIMARY observation_as_of_utc or as_of_utc when trustworthy else 11:30:00 UTC on T,Term and Social must share the same CASE A Git vector or same CASE B 31-point surrogate for the same T,TRUE,FALSE,FALSE,FALSE,MISSING,H6.1 chart A/A on captured dates,no independent second price series; do not apply surrogate construction when Git chart exists,6c03730df19adafd8e4e3b1f84361e64a378a6a6,6b2fa9cf56ce738c74c8da6de0f5a972858f8a52,h7-exploratory-reconstruction-v1
macro_overlay,dxy_20d,0.10,0.40,C_PIT_CONSERVATIVE,ALFRED/FRED DTWEXBGS vintage cutoff T-1 excluding observation_date >= T,MISSING,none; revised FRED history without vintage control forbidden,2025-12-11,prefer H3/H3.1 DAILY_PRIMARY observation_as_of_utc or as_of_utc when trustworthy else 11:30:00 UTC on T,20-session change on T-truncated conservative vintage; no same-day US close,TRUE,FALSE,FALSE,FALSE,MISSING,H6.1 factor remains U/U; ALFRED retrieval is not method B,H.10 Monday afternoon ET is after morning reconstruction clock,6c03730df19adafd8e4e3b1f84361e64a378a6a6,6b2fa9cf56ce738c74c8da6de0f5a972858f8a52,h7-exploratory-reconstruction-v1
