date,symbol,day_flow_usd,sum21_usd,cumulative_usd
2024-01-11,IBIT,45254866,0,45254866
2024-01-12,IBIT,23982715,0,69237581
2024-01-13,IBIT,47107610,0,116345191
2024-01-16,IBIT,46151324,0,162496515
2024-01-17,IBIT,32139836,0,194636351
2024-01-18,IBIT,37384382,0,232020733
2024-01-19,IBIT,33809718,0,265830451
2024-01-20,IBIT,26175018,0,292005469
2024-01-23,IBIT,45405960,0,337411429
2024-01-24,IBIT,23831333,0,361242762
2024-01-25,IBIT,37078120,0,398320882
2024-01-26,IBIT,44198133,0,442519015
2024-01-27,IBIT,36837105,0,479356120
2024-01-30,IBIT,42419162,0,521775282
2024-01-31,IBIT,13254539,0,535029821
2024-02-01,IBIT,15609207,0,550639028
2024-02-02,IBIT,35471580,0,586110608
2024-02-03,IBIT,37719568,0,623830176
2024-02-06,IBIT,45351261,0,669181437
2024-02-07,IBIT,37228267,0,706409704
2024-02-08,IBIT,47813751,754223455,754223455
2024-02-09,IBIT,58698735,767667324,812922190
2024-02-10,IBIT,23792630,767477239,836714820
2024-02-13,IBIT,15861758,736231387,852576578
2024-02-14,IBIT,32319989,722400052,884896567
2024-02-15,IBIT,34556105,724816321,919452672
2024-02-16,IBIT,39062860,726494799,958515532
2024-02-17,IBIT,7564979,700250060,966080511
2024-02-20,IBIT,33042553,707117595,999123064
2024-02-21,IBIT,18993639,680705274,1018116703
2024-02-22,IBIT,21595465,678469406,1039712168
2024-02-23,IBIT,23430185,664821471,1063142353
2024-02-24,IBIT,40607804,661231142,1103750157
2024-02-27,IBIT,19847003,644241040,1123597160
2024-02-28,IBIT,25002032,626823910,1148599192
2024-02-29,IBIT,11640217,625209588,1160239409
2024-03-01,IBIT,36269017,645869398,1196508426
2024-03-02,IBIT,26297184,636695002,1222805610
2024-03-05,IBIT,29298978,628274412,1252104588
2024-03-06,IBIT,35667747,618590898,1287772335
2024-03-07,IBIT,19757678,601120309,1307530013
2024-03-08,IBIT,20851737,574158295,1328381750
2024-03-09,IBIT,23036916,538496476,1351418666
2024-03-11,IBIT,20234452,534938298,1371653118
2024-03-12,IBIT,25261707,544338247,1396914825
2024-03-13,IBIT,28474413,540492671,1425389238
2024-03-14,IBIT,14277862,520214428,1439667100
2024-03-15,IBIT,43444721,524596289,1483111821
2024-03-18,IBIT,23110214,540141524,1506222035
2024-03-19,IBIT,34273069,541372040,1540495104
2024-03-20,IBIT,10015904,532394305,1550511008
