date,score,band,price_usd
2023-09-25,47,Moderate Buying,26296.08
2023-09-26,52,Hold & Wait,26208.44
2023-09-27,52,Hold & Wait,26357.62
2023-09-28,52,Hold & Wait,27027.14
2023-09-29,52,Hold & Wait,26907.00
2023-09-30,52,Hold & Wait,26961.00
2023-10-01,52,Hold & Wait,27995.46
2023-10-02,52,Hold & Wait,27504.04
2023-10-03,52,Hold & Wait,27428.96
2023-10-04,52,Hold & Wait,27786.75
2023-10-05,52,Hold & Wait,27412.96
2023-10-06,52,Hold & Wait,27945.17
2023-10-07,52,Hold & Wait,27976.43
2023-10-08,52,Hold & Wait,27933.55
2023-10-09,52,Hold & Wait,27596.67
2023-10-10,52,Hold & Wait,27393.29
2023-10-11,52,Hold & Wait,26869.19
2023-10-12,52,Hold & Wait,26750.51
2023-10-13,52,Hold & Wait,26863.53
2023-10-14,52,Hold & Wait,26851.71
2023-10-15,52,Hold & Wait,27186.13
2023-10-16,52,Hold & Wait,28520.24
2023-10-17,52,Hold & Wait,28408.83
2023-10-18,52,Hold & Wait,28326.51
2023-10-19,52,Hold & Wait,28735.34
2023-10-20,52,Hold & Wait,29684.73
2023-10-21,52,Hold & Wait,29924.84
2023-10-22,52,Hold & Wait,30004.15
2023-10-23,52,Hold & Wait,33087.58
2023-10-24,52,Hold & Wait,33922.52
2023-10-25,52,Hold & Wait,34506.35
2023-10-26,52,Hold & Wait,34154.71
2023-10-27,52,Hold & Wait,33906.09
2023-10-28,52,Hold & Wait,34085.42
2023-10-29,52,Hold & Wait,34534.48
2023-10-30,52,Hold & Wait,34493.79
2023-10-31,52,Hold & Wait,34656.40
2023-11-01,52,Hold & Wait,35440.10
2023-11-02,52,Hold & Wait,34950.00
2023-11-03,52,Hold & Wait,34731.27
2023-11-04,52,Hold & Wait,35087.01
2023-11-05,52,Hold & Wait,35035.42
2023-11-06,52,Hold & Wait,35059.46
2023-11-07,52,Hold & Wait,35416.28
2023-11-08,52,Hold & Wait,35639.13
2023-11-09,52,Hold & Wait,36706.59
2023-11-10,52,Hold & Wait,37324.83
2023-11-11,52,Hold & Wait,37139.12
2023-11-12,52,Hold & Wait,37086.03
2023-11-13,52,Hold & Wait,36475.67
2023-11-14,52,Hold & Wait,35554.09
2023-11-15,52,Hold & Wait,37885.35
2023-11-16,52,Hold & Wait,36161.15
2023-11-17,52,Hold & Wait,36630.38
2023-11-18,52,Hold & Wait,36594.89
2023-11-19,52,Hold & Wait,37391.19
2023-11-20,52,Hold & Wait,37475.64
2023-11-21,52,Hold & Wait,35751.89
2023-11-22,52,Hold & Wait,37424.31
2023-11-23,52,Hold & Wait,37304.05
2023-11-24,52,Hold & Wait,37745.84
2023-11-25,52,Hold & Wait,37805.99
2023-11-26,52,Hold & Wait,37462.79
2023-11-27,52,Hold & Wait,37241.63
2023-11-28,52,Hold & Wait,37838.26
2023-11-29,52,Hold & Wait,37863.84
2023-11-30,52,Hold & Wait,37732.27
2023-12-01,52,Hold & Wait,38703.54
2023-12-02,52,Hold & Wait,39478.95
2023-12-03,52,Hold & Wait,39984.81
2023-12-04,52,Hold & Wait,41987.24
2023-12-05,52,Hold & Wait,44084.39
2023-12-06,52,Hold & Wait,43764.05
2023-12-07,52,Hold & Wait,43280.95
2023-12-08,52,Hold & Wait,44192.87
2023-12-09,52,Hold & Wait,43723.25
2023-12-10,52,Hold & Wait,43793.68
2023-12-11,52,Hold & Wait,41229.61
2023-12-12,52,Hold & Wait,41477.39
2023-12-13,52,Hold & Wait,42885.54
2023-12-14,52,Hold & Wait,43027.77
2023-12-15,52,Hold & Wait,41933.89
2023-12-16,52,Hold & Wait,42237.29
2023-12-17,52,Hold & Wait,41349.59
2023-12-18,52,Hold & Wait,42650.01
2023-12-19,52,Hold & Wait,42266.22
2023-12-20,52,Hold & Wait,43674.77
2023-12-21,52,Hold & Wait,43875.32
2023-12-22,52,Hold & Wait,44013.73
2023-12-23,52,Hold & Wait,43726.35
2023-12-24,52,Hold & Wait,43025.03
2023-12-25,52,Hold & Wait,43589.67
2023-12-26,52,Hold & Wait,42515.53
2023-12-27,52,Hold & Wait,43474.40
2023-12-28,52,Hold & Wait,42581.23
2023-12-29,52,Hold & Wait,42063.45
2023-12-30,52,Hold & Wait,42141.03
2023-12-31,52,Hold & Wait,42288.06
2024-01-01,52,Hold & Wait,44220.78
2024-01-02,52,Hold & Wait,44972.80
2024-01-03,52,Hold & Wait,42862.44
2024-01-04,52,Hold & Wait,44193.29
2024-01-05,52,Hold & Wait,44186.59
2024-01-06,52,Hold & Wait,43992.44
2024-01-07,52,Hold & Wait,43950.28
2024-01-08,52,Hold & Wait,46995.10
2024-01-09,52,Hold & Wait,46124.08
2024-01-10,52,Hold & Wait,46666.11
2024-01-11,52,Hold & Wait,46342.66
2024-01-12,52,Hold & Wait,42773.03
2024-01-13,52,Hold & Wait,42839.33
2024-01-14,52,Hold & Wait,41697.33
2024-01-15,52,Hold & Wait,42490.16
2024-01-16,52,Hold & Wait,43130.45
2024-01-17,52,Hold & Wait,42739.49
2024-01-18,52,Hold & Wait,41293.50
2024-01-19,52,Hold & Wait,41624.07
2024-01-20,52,Hold & Wait,41666.67
2024-01-21,52,Hold & Wait,41554.05
2024-01-22,52,Hold & Wait,39524.27
2024-01-23,52,Hold & Wait,39878.30
2024-01-24,52,Hold & Wait,40077.78
2024-01-25,52,Hold & Wait,39941.66
2024-01-26,52,Hold & Wait,41814.80
2024-01-27,52,Hold & Wait,42126.55
2024-01-28,52,Hold & Wait,42034.59
2024-01-29,52,Hold & Wait,43306.18
2024-01-30,52,Hold & Wait,42942.78
2024-01-31,52,Hold & Wait,42548.08
2024-02-01,52,Hold & Wait,43078.81
2024-02-02,52,Hold & Wait,43181.66
2024-02-03,52,Hold & Wait,43010.67
2024-02-04,52,Hold & Wait,42568.55
2024-02-05,52,Hold & Wait,42657.67
2024-02-06,52,Hold & Wait,43095.79
2024-02-07,52,Hold & Wait,44343.61
2024-02-08,52,Hold & Wait,45305.20
2024-02-09,52,Hold & Wait,47160.41
2024-02-10,52,Hold & Wait,47767.06
2024-02-11,52,Hold & Wait,48316.30
2024-02-12,52,Hold & Wait,49941.81
2024-02-13,52,Hold & Wait,49725.36
2024-02-14,52,Hold & Wait,51858.59
2024-02-15,52,Hold & Wait,51934.29
2024-02-16,52,Hold & Wait,52162.64
2024-02-17,52,Hold & Wait,51666.22
2024-02-18,52,Hold & Wait,52153.63
2024-02-19,52,Hold & Wait,51787.05
2024-02-20,52,Hold & Wait,52277.52
2024-02-21,52,Hold & Wait,51851.67
2024-02-22,52,Hold & Wait,51258.70
2024-02-23,52,Hold & Wait,50747.05
2024-02-24,52,Hold & Wait,51570.65
2024-02-25,52,Hold & Wait,51731.00
2024-02-26,52,Hold & Wait,54533.48
2024-02-27,52,Hold & Wait,57077.07
2024-02-28,52,Hold & Wait,62518.90
2024-02-29,52,Hold & Wait,61179.03
2024-03-01,52,Hold & Wait,62436.72
2024-03-02,52,Hold & Wait,62045.78
2024-03-03,52,Hold & Wait,63154.49
2024-03-04,52,Hold & Wait,68360.14
2024-03-05,52,Hold & Wait,63800.78
2024-03-06,52,Hold & Wait,66122.28
2024-03-07,52,Hold & Wait,66938.21
2024-03-08,52,Hold & Wait,68289.16
2024-03-09,52,Hold & Wait,68480.00
2024-03-10,52,Hold & Wait,69032.12
2024-03-11,52,Hold & Wait,72110.98
2024-03-12,52,Hold & Wait,71475.93
2024-03-13,52,Hold & Wait,73135.04
2024-03-14,52,Hold & Wait,71364.58
2024-03-15,52,Hold & Wait,69506.88
2024-03-16,52,Hold & Wait,65254.22
2024-03-17,52,Hold & Wait,68343.64
2024-03-18,47,Moderate Buying,67613.04
2024-03-19,52,Hold & Wait,61906.27
2024-03-20,52,Hold & Wait,67858.80
2024-03-21,52,Hold & Wait,65484.70
2024-03-22,52,Hold & Wait,63814.56
2024-03-23,52,Hold & Wait,63998.86
2024-03-24,52,Hold & Wait,67204.93
2024-03-25,52,Hold & Wait,69890.28
2024-03-26,52,Hold & Wait,69992.40
2024-03-27,52,Hold & Wait,69435.96
2024-03-28,52,Hold & Wait,70801.18
2024-03-29,52,Hold & Wait,69903.75
2024-03-30,52,Hold & Wait,69626.87
2024-03-31,52,Hold & Wait,71288.90
2024-04-01,52,Hold & Wait,69681.82
2024-04-02,52,Hold & Wait,65464.14
2024-04-03,52,Hold & Wait,65987.92
2024-04-04,52,Hold & Wait,68525.23
2024-04-05,52,Hold & Wait,67856.51
2024-04-06,52,Hold & Wait,68919.89
2024-04-07,52,Hold & Wait,69350.34
2024-04-08,52,Hold & Wait,71622.53
2024-04-09,52,Hold & Wait,69117.01
2024-04-10,52,Hold & Wait,70634.04
2024-04-11,72,Reduce Risk,70020.73
2024-04-12,76,Reduce Risk,67148.61
2024-04-13,95,High Risk,64024.77
2024-04-14,96,High Risk,65777.05
2024-04-15,90,High Risk,63452.18
2024-04-16,90,High Risk,63814.94
2024-04-17,87,High Risk,61279.36
2024-04-18,93,High Risk,63513.85
2024-04-19,92,High Risk,63848.37
2024-04-20,94,High Risk,64968.87
2024-04-21,75,Reduce Risk,64952.92
2024-04-22,72,Reduce Risk,66859.17
2024-04-23,78,Reduce Risk,66414.16
2024-04-24,86,High Risk,64255.78
2024-04-25,84,High Risk,64484.44
2024-04-26,79,Reduce Risk,63742.39
2024-04-27,76,Reduce Risk,63422.00
2024-04-28,77,Reduce Risk,63108.94
2024-04-29,79,Reduce Risk,63844.85
2024-04-30,61,Hold & Wait,60622.10
2024-05-01,54,Hold & Wait,58265.59
2024-05-02,55,Hold & Wait,59071.89
2024-05-03,74,Reduce Risk,62913.03
2024-05-04,68,Reduce Risk,63902.88
2024-05-05,65,Hold & Wait,64023.45
2024-05-06,56,Hold & Wait,63162.24
2024-05-07,58,Hold & Wait,62315.76
2024-05-08,60,Hold & Wait,61169.53
2024-05-09,66,Reduce Risk,63073.57
2024-05-10,70,Reduce Risk,60787.47
2024-05-11,71,Reduce Risk,60814.63
2024-05-12,72,Reduce Risk,61453.02
2024-05-13,58,Hold & Wait,62932.37
2024-05-14,55,Hold & Wait,61539.84
2024-05-15,72,Reduce Risk,66244.69
2024-05-16,58,Hold & Wait,65252.18
2024-05-17,66,Reduce Risk,67046.33
2024-05-18,63,Hold & Wait,66923.87
2024-05-19,66,Reduce Risk,66261.62
2024-05-20,100,High Risk,71432.17
2024-05-21,100,High Risk,70142.84
2024-05-22,87,High Risk,69109.93
2024-05-23,74,Reduce Risk,67940.45
2024-05-24,77,Reduce Risk,68547.80
2024-05-25,84,High Risk,69289.67
2024-05-26,80,High Risk,68473.72
2024-05-27,90,High Risk,69368.72
2024-05-28,58,Hold & Wait,68321.98
2024-05-29,60,Hold & Wait,67569.45
2024-05-30,63,Hold & Wait,68338.58
2024-05-31,54,Hold & Wait,67472.41
2024-06-01,49,Moderate Buying,67719.29
2024-06-02,72,Reduce Risk,67735.52
2024-06-03,67,Reduce Risk,68791.00
2024-06-04,78,Reduce Risk,70542.32
2024-06-05,76,Reduce Risk,71121.11
2024-06-06,73,Reduce Risk,70773.64
2024-06-07,65,Reduce Risk,69324.53
2024-06-08,77,Reduce Risk,69304.05
2024-06-09,73,Reduce Risk,69637.87
2024-06-10,70,Reduce Risk,69497.73
2024-06-11,62,Hold & Wait,67316.53
2024-06-12,62,Hold & Wait,68248.60
2024-06-13,62,Hold & Wait,66738.85
2024-06-14,59,Hold & Wait,66004.39
2024-06-15,61,Hold & Wait,66192.00
2024-06-16,59,Hold & Wait,66628.75
2024-06-17,61,Hold & Wait,66481.81
2024-06-18,65,Hold & Wait,65152.80
2024-06-19,63,Hold & Wait,64943.79
2024-06-20,65,Hold & Wait,64840.88
2024-06-22,69,Reduce Risk,64235.01
2024-06-23,76,Reduce Risk,63171.43
2024-06-24,78,Reduce Risk,60263.00
2024-06-25,69,Reduce Risk,61789.71
2024-06-26,75,Reduce Risk,60816.68
2024-06-27,71,Reduce Risk,61615.39
2024-06-28,75,Reduce Risk,60313.35
2024-06-29,72,Reduce Risk,60885.67
2024-06-30,62,Hold & Wait,62668.26
2024-07-01,62,Hold & Wait,62830.13
2024-07-02,65,Reduce Risk,62040.22
2024-07-03,69,Reduce Risk,60145.01
2024-07-04,80,Reduce Risk,57042.14
2024-07-05,80,Reduce Risk,56639.43
2024-07-06,80,Reduce Risk,58244.75
2024-07-07,82,High Risk,55854.09
2024-07-08,81,High Risk,56699.43
2024-07-09,81,High Risk,58047.86
2024-07-10,81,High Risk,57712.59
2024-07-11,81,High Risk,57340.77
2024-07-12,80,Reduce Risk,57909.03
2024-07-13,62,Hold & Wait,59224.58
2024-07-14,59,Hold & Wait,60808.42
2024-07-15,54,Hold & Wait,64757.16
2024-07-16,47,Moderate Buying,65088.99
2024-07-17,41,Moderate Buying,64085.81
2024-07-18,40,Moderate Buying,63982.86
2024-07-19,37,Moderate Buying,66707.61
2024-07-20,34,Regular DCA Buying,67163.83
2024-07-21,38,Moderate Buying,68181.28
2024-07-22,43,Moderate Buying,67558.22
2024-07-23,55,Hold & Wait,65939.24
2024-07-24,57,Hold & Wait,65366.40
2024-07-25,50,Moderate Buying,65795.42
2024-07-26,53,Hold & Wait,67924.08
2024-07-27,53,Hold & Wait,67899.41
2024-07-28,61,Hold & Wait,68244.30
2024-07-29,62,Hold & Wait,66771.45
2024-07-30,63,Hold & Wait,66169.68
2024-07-31,56,Hold & Wait,64609.62
2024-08-01,61,Hold & Wait,65288.18
2024-08-02,56,Hold & Wait,61418.06
2024-08-03,77,Reduce Risk,60674.93
2024-08-04,78,Reduce Risk,58130.95
2024-08-05,88,High Risk,54029.12
2024-08-06,97,High Risk,56048.08
2024-08-07,96,High Risk,55148.10
2024-08-08,95,High Risk,61705.58
2024-08-09,98,High Risk,60862.13
2024-08-10,98,High Risk,60935.02
2024-08-11,100,High Risk,58722.49
2024-08-12,100,High Risk,59358.78
2024-08-13,100,High Risk,60603.19
2024-08-14,100,High Risk,58690.62
2024-08-15,100,High Risk,57543.61
2024-08-16,100,High Risk,58888.99
2024-08-17,100,High Risk,59497.49
2024-08-18,100,High Risk,58437.90
2024-08-19,100,High Risk,59452.67
2024-08-20,100,High Risk,59017.59
2024-08-21,65,Hold & Wait,61163.28
2024-08-22,65,Hold & Wait,60383.29
2024-08-23,65,Hold & Wait,64086.72
2024-08-24,72,Reduce Risk,64179.63
